trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
90,False,"{'a': 0.5, 'e': 0.9911021018315633}",25,0,-146.60731923999077,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.9909013312045479}",20,0,-127.93589619565876,"{0: 7, 1: 5, 2: 5, 3: 3, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.9906983310499554}",20,0,-148.8633441419855,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
93,False,"{'a': 0.5, 'e': 0.9904931018245359}",25,0,-101.9353681353597,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.9902856439900551}",25,2,-88.711778261103,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.9900759580132933}",25,7,-75.78563060361768,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.9898640443660435}",25,0,-79.53123278653398,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.9896499035251115}",25,0,-62.4824276438365,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.9894335359723141}",30,0,-190.77774864361837,"{0: 15, 1: 3, 2: 7, 3: 4, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.9892149421944781}",20,13,-19.895974077487725,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.9889941226834397}",20,0,-120.43875534878805,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.9887710779360422}",20,0,-60.65334516485965,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.9885458084541368}",20,0,-129.44294915315078,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
103,False,"{'a': 0.5, 'e': 0.9883183147445792}",20,0,-182.80552851576743,"{0: 6, 1: 2, 2: 10, 3: 0, 4: 2}",0
104,False,"{'a': 0.5, 'e': 0.9880885973192304}",30,0,-131.6687748445999,"{0: 16, 1: 4, 2: 9, 3: 0, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.9878566566949545}",30,0,-129.15289126658777,"{0: 20, 1: 1, 2: 5, 3: 3, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.9876224933936177}",30,0,-235.564347813302,"{0: 16, 1: 1, 2: 7, 3: 3, 4: 3}",0
107,False,"{'a': 0.5, 'e': 0.9873861079420876}",35,3,-218.2053968833697,"{0: 16, 1: 6, 2: 5, 3: 2, 4: 3}",1
108,False,"{'a': 0.5, 'e': 0.9871475008722311}",20,0,-123.7998181293162,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
109,False,"{'a': 0.5, 'e': 0.986906672720914}",20,0,-113.76964332120126,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
110,False,"{'a': 0.5, 'e': 0.9866636240299999}",20,13,5.410164936230023,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.9864183553463477}",25,0,-125.74512195633575,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.9861708672218122}",20,7,-9.618519348141678,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.9859211602132415}",20,0,-47.59640385663514,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.9856692348824763}",30,0,-177.07129890734694,"{0: 17, 1: 5, 2: 5, 3: 0, 4: 3}",0
115,False,"{'a': 0.5, 'e': 0.9854150917963483}",30,0,-215.75996459156534,"{0: 15, 1: 4, 2: 5, 3: 4, 4: 2}",0
